Brand,Owner,Ownership Type,Notes,Category,Subcategory
Seattle's Best,Nestle,Megacorporation,,Food,Coffee
Eight O'Clock Coffee,Tata Group,Megacorporation,India's largest conglomorate. $150 billion in revenue last year.,Food,Coffee
Dunkin',Inspire Brands,Private Equity,"One of the giant PE conglomerates destroying the food service space. They also own Arby's, Sonic, Buffalo Wild Wings, Baskin Robbins, and Rusty Taco.",Food,Coffee
Black Rifle Coffee Co.,Evan Hafer,Founder owned,Veteran owned. Hafer was a green beret for 15 years.,Food,Coffee
Newman's Own,Paul Newman & Family,Founder family owned,Amazing company. 100% of profits are donated to charity.,Food,Coffee
Death Wish Coffe Co.,Michael Brown,Founder owned,Apparently this coffee is like 4x as strong as regular coffee because of bean selection and special roasting techniques...,Food,Coffee
Landmark Coffee,Landman Family,Family owned,"Founded by Carl Landman, now run by his son Jim. Not to be confused with the numerous other Landmark coffee companies out there. This one is, I believe, registered as Carl Landman Co., Inc.",Food,Coffee
M&M's,Mars,Megacorporation,,Food,Candy
Twix,Mars,Megacorporation,,Food,Candy
Snickers,Mars,Megacorporation,,Food,Candy
Milky Way,Mars,Megacorporation,,Food,Candy
Skittles,Mars,Megacorporation,,Food,Candy
3 Musketeers,Mars,Megacorporation,,Food,Candy
Dove,Mars,Megacorporation,,Food,Candy
Reese's,The Hershey Company,Megacorporation,,Food,Candy
Hershey's Kisses,The Hershey Company,Megacorporation,,Food,Candy
Rolo,The Hershey Company,Megacorporation,,Food,Candy
KitKat,The Hershey Company,Megacorporation,,Food,Candy
Oh Henry!,The Hershey Company,Megacorporation,,Food,Candy
Almond Joy,The Hershey Company,Megacorporation,,Food,Candy
Heath,The Hershey Company,Megacorporation,,Food,Candy
York Peppermint,The Hershey Company,Megacorporation,,Food,Candy
Junior Mints,Tootsie Roll Industries,Megacorporation,,Food,Candy
Tootsie Roll,Tootsie Roll Industries,Megacorporation,Ellen R. Gordon (no relation to founder) is CEO and largest shareholder with about 40% of shares. She's a billionaire off of this ,Food,Candy
Lindt,Chocoladefabriken Lindt & Sprüngli AG,Megacorporation,Vanguard owns 30% of the shares of Lindt's parent company,Food,Candy
Ghiradelli,Chocoladefabriken Lindt & Sprüngli AG,Megacorporation,Owned by Lindt,Food,Candy
Pearson's Mint,Spell Capital Partners,Private Equity,,Food,Candy
Ferrero,Ferrero Group,Family owned,"Owned by the Ferrero Family, super secretive and mysterious apparnetly... spooky...",Food,Candy
Butterfinger,Ferrero Group,Family owned,,Food,Candy
Kinder,Ferrero Group,Family owned,,Food,Candy
Smarties,The Dee Family,Family owned,Run by the three granddaughters of the founder. So cool!,Food,Candy
Roca,Brown & Haley,Family Owned,Fifth generation family owned since 1940's,Food,Candy
Merci Chocolate,Axel Oberwelland,Family Owned,Son of founder August Oberwelland currently runs and owns it.,Food,Candy
Digiorno,Nestle,Megacorporation,,Food,Frozen Pizza
Stouffer's,Nestle,Megacorporation,,Food,Frozen Pizza
California Pizza Kitchen,Nestle,Megacorporation,,Food,Frozen Pizza
Tombstone,Nestle,Megacorporation,,Food,Frozen Pizza
Freschetta,Schwan's Consumer Brands,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company...",Food,Frozen Pizza
Red Barron,Schwan's Consumer Brands,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company...",Food,Frozen Pizza
Tony's,Schwan's Consumer Brands,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company...",Food,Frozen Pizza
Totinos,General Mills,Megacorporation,,Food,Frozen Pizza
Bellatoria,Bernatello's Foods,Ramsay Family,,Food,Frozen Pizza
Roma,Bernatello's Foods,Ramsay Family,,Food,Frozen Pizza
Wild Mikes,Piazza family,Family owned,Has a children's charity foundation similar to Newman's Own,Food,Frozen Pizza
Screamin Sicillian,Fallucca Family,Family owned,Gives a darn about mustaches. Hell yeah.,Food,Frozen Pizza
Caulipower,Gail Becker,Founder owned,Gail has two sons with celiac disease,Food,Frozen Pizza
